备注,%W_SWS1%,%N_P1%,%R_core_offset%,%extractor0.dz%,%side_out.rout_offset%,%side_out.rin_offset%
初始值,0.008,10,0.001,1.00E-03,5.00E-04,1.00E-03
,0.008,10,0.001,2.00E-03,1.00E-03,1.00E-03
,0.008,10,0.001,3.00E-03,1.50E-03,1.00E-03
,0.008,10,0.001,4.00E-03,2.00E-03,1.00E-03
,0.008,10,0.001,5.00E-03,2.50E-03,1.00E-03
,0.008,10,0.001,6.00E-03,3.00E-03,1.00E-03
,0.008,10,0.001,7.00E-03,3.50E-03,1.00E-03
,0.008,10,0.001,8.00E-03,4.00E-03,1.00E-03
,0.008,10,0.001,9.00E-03,4.50E-03,1.00E-03
,0.008,10,0.001,1.00E-02,5.00E-03,1.00E-03
,0.008,10,0.001,1.10E-02,5.50E-03,1.00E-03
,0.008,10,0.001,1.20E-02,6.00E-03,1.00E-03
,0.008,10,0.001,1.30E-02,6.50E-03,1.00E-03
,0.008,10,0.001,1.40E-02,7.00E-03,1.00E-03
,0.008,10,0.001,1.50E-02,7.50E-03,1.00E-03
,0.008,10,0.001,1.60E-02,5.00E-04,1.00E-03
下界,0.008,10,0.001,1.20E-02,0.00E+00,0.00E+00
上界,0.008,10,0.001,1.30E-02,5.00E-03,5.00E-03
精度,0.008,10,0.001,1.00E-03,2.00E-04,2.00E-04
计算偏微分的步长,,,,,,
单位步长,,,,,,
