备注,%f_target%
初始值,20000000000
,22000000000
,22900000000
,2.30E+10
,24000000000
,25000000000
,26000000000
,28000000000
,30000000000
,30000000000
,30000000000
,32000000000
,34000000000
,35000000000
,36000000000
,38000000000
,40000000000
,40500000000
,42000000000
,44000000000
,45000000000
,45000000000
,45300000000
,45500000000
,45800000000
,46000000000
,46000000000
,46300000000
,46500000000
,46800000000
,47000000000
,47300000000
,47500000000
,47800000000
,48000000000
,48000000000
,48300000000
,48500000000
,48800000000
,49000000000
,49300000000
,49500000000
,49800000000
,50000000000
,50000000000
,50000000000
,50300000000
,50500000000
,50800000000
,51000000000
,51300000000
,52000000000
,54000000000
,55000000000
,56000000000
,58000000000
,60000000000
,60000000000
,62000000000
,64000000000
,65000000000
,66000000000
,68000000000
,70000000000
下界,0
上界,5.00E-02
精度,1.00E+06
计算偏微分的步长,
单位步长,
